name,store_id,amenity
덴키카츠,1603397059,간편결제
가츠몽 역삼점,31761498,예약
가츠몽 역삼점,31761498,주차
가츠몽 역삼점,31761498,포장
가츠몽 역삼점,31761498,남/녀 화장실 구분
간코 롯데백화점 강남점,1932950472,주차
간코 롯데백화점 강남점,1932950472,포장
부엉이돈가스 대치점,1011909851,포장
부엉이돈가스 대치점,1011909851,배달
부엉이돈가스 대치점,1011909851,무선 인터넷
가츠오 대치점,1736425432,포장
가츠오 대치점,1736425432,배달
가츠오 대치점,1736425432,무선 인터넷
가츠오 대치점,1736425432,예약
가츠오 대치점,1736425432,단체 이용 가능
모리가츠 강남역점,1683549281,예약
모리가츠 강남역점,1683549281,단체 이용 가능
모리가츠 강남역점,1683549281,무선 인터넷
모리가츠 강남역점,1683549281,포장
모리가츠 강남역점,1683549281,남/녀 화장실 구분
호천당 역삼점,1681894074,배달
호천당 역삼점,1681894074,포장
호천당 역삼점,1681894074,무선 인터넷
봄카츠,1849118224,포장
봄카츠,1849118224,무선 인터넷
봄카츠,1849118224,배달
봄카츠,1849118224,주차
돈비고고 강남본점,1038346559,단체 이용 가능
돈비고고 강남본점,1038346559,무선 인터넷
오레노카츠 선릉점,525494782,단체 이용 가능
오레노카츠 선릉점,525494782,남/녀 화장실 구분
오레노카츠 선릉점,525494782,주차
오레노카츠 선릉점,525494782,포장
오레노카츠 선릉점,525494782,배달
오레노카츠 선릉점,525494782,예약
오레노카츠 선릉점,525494782,무선 인터넷
고반식당 선릉점,38667568,예약
고반식당 선릉점,38667568,단체 이용 가능
고반식당 선릉점,38667568,주차
고반식당 선릉점,38667568,무선 인터넷
동래정 선릉직영점,1347707437,단체 이용 가능
동래정 선릉직영점,1347707437,무선 인터넷
동래정 선릉직영점,1347707437,예약
동래정 선릉직영점,1347707437,대기공간
육시리 역삼직영점,1541340038,단체 이용 가능
육시리 역삼직영점,1541340038,예약
육시리 역삼직영점,1541340038,남/녀 화장실 구분
육시리 역삼직영점,1541340038,주차
두껍삼 강남직영점,37253680,예약
두껍삼 강남직영점,37253680,단체 이용 가능
두껍삼 강남직영점,37253680,포장
두껍삼 강남직영점,37253680,무선 인터넷
두껍삼 강남직영점,37253680,남/녀 화장실 구분
두껍삼 강남직영점,37253680,배달
두껍삼 강남직영점,37253680,주차
두껍삼 강남직영점,37253680,발렛파킹
흑돈가 삼성점,1209482555,포장
흑돈가 삼성점,1209482555,무선 인터넷
흑돈가 삼성점,1209482555,남/녀 화장실 구분
흑돈가 삼성점,1209482555,예약
흑돈가 삼성점,1209482555,단체 이용 가능
흑돈가 삼성점,1209482555,유아의자
흑돈가 삼성점,1209482555,대기공간
흑돈가 삼성점,1209482555,주차
흑돈가 삼성점,1209482555,발렛파킹
남부 선릉점,1411236662,단체 이용 가능
남부 선릉점,1411236662,예약
남부 선릉점,1411236662,무선 인터넷
남부 선릉점,1411236662,남/녀 화장실 구분
호남마을,237686506,단체 이용 가능
호남마을,237686506,무선 인터넷
호남마을,237686506,남/녀 화장실 구분
호남마을,237686506,간편결제
호남마을,237686506,주차
대치동집,715284856,예약
대치동집,715284856,무선 인터넷
대치동집,715284856,남/녀 화장실 구분
대치동집,715284856,단체 이용 가능
대치동집,715284856,주차
돝고기506,1087970189,예약
돝고기506,1087970189,단체 이용 가능
돝고기506,1087970189,남/녀 화장실 구분
돝고기506,1087970189,무선 인터넷
돝고기506,1087970189,간편결제
돝고기506,1087970189,주차
돝고기506,1087970189,발렛파킹
괸당집 교대직영점,1346232333,단체 이용 가능
상록수 선릉점,1021725079,단체 이용 가능
상록수 선릉점,1021725079,예약
상록수 선릉점,1021725079,무선 인터넷
상록수 선릉점,1021725079,포장
상록수 선릉점,1021725079,남/녀 화장실 구분
벽돌집 605,1577131901,예약
벽돌집 605,1577131901,무선 인터넷
벽돌집 605,1577131901,남/녀 화장실 구분
벽돌집 605,1577131901,단체 이용 가능
두껍삼 역삼직영점,619673845,예약
두껍삼 역삼직영점,619673845,단체 이용 가능
두껍삼 역삼직영점,619673845,무선 인터넷
두껍삼 역삼직영점,619673845,남/녀 화장실 구분
두껍삼 역삼직영점,619673845,포장
두껍삼 역삼직영점,619673845,주차
두껍삼 역삼직영점,619673845,발렛파킹
봉우이층집,37577974,단체 이용 가능
봉우이층집,37577974,무선 인터넷
봉우이층집,37577974,예약
봉우이층집,37577974,남/녀 화장실 구분
봉우이층집,37577974,주차
강남 돼지상회 무한리필,37653872,단체 이용 가능
강남 돼지상회 무한리필,37653872,남/녀 화장실 구분
강남 돼지상회 무한리필,37653872,무선 인터넷
강남 돼지상회 무한리필,37653872,예약
언주집 본점,1900295387,예약
언주집 본점,1900295387,단체 이용 가능
언주집 본점,1900295387,주차
언주집 본점,1900295387,포장
언주집 본점,1900295387,무선 인터넷
언주집 본점,1900295387,발렛파킹
고기꾼김춘배 강남점,37837518,예약
고기꾼김춘배 강남점,37837518,단체 이용 가능
고기꾼김춘배 강남점,37837518,무선 인터넷
고기꾼김춘배 강남점,37837518,남/녀 화장실 구분
하남돼지집 선릉1호점,36444497,예약
하남돼지집 선릉1호점,36444497,단체 이용 가능
하남돼지집 선릉1호점,36444497,포장
하남돼지집 선릉1호점,36444497,남/녀 화장실 구분
땅코참숯구이 역삼점,1313376910,예약
땅코참숯구이 역삼점,1313376910,무선 인터넷
땅코참숯구이 역삼점,1313376910,주차
신도세기 강남역점,1357831743,단체 이용 가능
신도세기 강남역점,1357831743,주차
신도세기 강남역점,1357831743,무선 인터넷
신도세기 강남역점,1357831743,남/녀 화장실 구분
대파집 역삼본점,1374885747,예약
대파집 역삼본점,1374885747,주차
대파집 역삼본점,1374885747,포장
대파집 역삼본점,1374885747,무선 인터넷
대파집 역삼본점,1374885747,남/녀 화장실 구분
대파집 역삼본점,1374885747,단체 이용 가능
강남 돈주는남자,471161255,단체 이용 가능
강남 돈주는남자,471161255,예약
강남 돈주는남자,471161255,주차
김돈이 본점,19578744,예약
김돈이 본점,19578744,단체 이용 가능
교대패,1579184347,남/녀 화장실 구분
교대패,1579184347,단체 이용 가능
교대패,1579184347,대기공간
교대패,1579184347,예약
교대패,1579184347,무선 인터넷
교대패,1579184347,간편결제
돼지통 역삼본점,37175747,예약
돼지통 역삼본점,37175747,단체 이용 가능
돼지통 역삼본점,37175747,무선 인터넷
돼지통 역삼본점,37175747,남/녀 화장실 구분
쌍다리돼지불백 역삼직영점,36259126,주차
연탄마을,13150009,예약
연탄마을,13150009,단체 이용 가능
연탄마을,13150009,주차
연탄마을,13150009,포장
탐라도야지,37026271,예약
탐라도야지,37026271,포장
탐라도야지,37026271,무선 인터넷
탐라도야지,37026271,단체 이용 가능
탐라도야지,37026271,남/녀 화장실 구분
탐라도야지,37026271,주차
무쇠김치삼겹 삼성점,1041880614,단체 이용 가능
무쇠김치삼겹 삼성점,1041880614,예약
무쇠김치삼겹 삼성점,1041880614,무선 인터넷
무쇠김치삼겹 삼성점,1041880614,남/녀 화장실 구분
무쇠김치삼겹 삼성점,1041880614,주차
돈웍 교대점,1973657790,포장
돈웍 교대점,1973657790,남/녀 화장실 구분
돈웍 교대점,1973657790,배달
돈웍 교대점,1973657790,무선 인터넷
세겹,1194706903,예약
